OBJECTID,SHAPE_Length,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,shape_id
107,58.297382769568749,63.730527404574708,-148.893032509360520,1,58.297382769568699,RCWB_shp
108,58.297307834792370,63.730641026861022,-148.891878565614410,2,116.594690604361090,RCWB_shp
109,58.297305700208248,63.730732453586150,-148.890745090895250,3,174.891996304569290,RCWB_shp
110,58.297408848536350,63.731076310506154,-148.890911662282580,4,233.189405153105700,RCWB_shp
111,58.297327147856933,63.731530419379162,-148.891494644482440,5,291.486732300962610,RCWB_shp
112,58.297392788604938,63.731983759679771,-148.892080717901340,6,349.784125089567510,RCWB_shp
113,58.297301362966500,63.732443055989840,-148.892642195333620,7,408.081426452534000,RCWB_shp
114,58.297340942528535,63.732901730267493,-148.893206500031430,8,466.378767395062480,RCWB_shp
115,58.297367855370339,63.733358990161889,-148.893776766803740,9,524.676135250432820,RCWB_shp
116,58.297318689708234,63.733816214060546,-148.894347132576030,10,582.973453940140980,RCWB_shp
117,58.297383337922618,63.734273529262417,-148.894917168278620,11,641.270837278063600,RCWB_shp
118,58.297358950056690,63.734736092905251,-148.895463779569240,12,699.568196228120310,RCWB_shp
119,58.297284838342065,63.735167835289879,-148.896127416164750,13,757.865481066462390,RCWB_shp
120,58.297414494987983,63.735576033037496,-148.896861778408290,14,816.162895561450340,RCWB_shp
121,58.297359541462924,63.735946077551226,-148.897694584738730,15,874.460255102913270,RCWB_shp
122,58.297286360632761,63.736278808855580,-148.898603533864900,16,932.757541463546090,RCWB_shp
123,58.297338338159946,63.736587142237973,-148.899556989478160,17,991.054879801705970,RCWB_shp
124,58.297357838878781,63.736902218375107,-148.900483943350540,18,1049.352237640584700,RCWB_shp
125,58.297337688181031,63.737225015452879,-148.899835730808290,19,1107.649575328765600,RCWB_shp
126,58.297366533488685,63.737150930399281,-148.898694971384740,20,1165.946941862254300,RCWB_shp
127,58.297364006278428,63.736944003071685,-148.897687348333760,21,1224.244305868532800,RCWB_shp
128,58.297338096444392,63.737200880749228,-148.896928623228750,22,1282.541643964977300,RCWB_shp
129,58.297329058842934,63.737210324932541,-148.897884960397190,23,1340.838973023820200,RCWB_shp
130,58.297333288210154,63.737280349875043,-148.899054429941230,24,1399.136306312030500,RCWB_shp
131,58.297373447621432,63.737287933642449,-148.900209433928860,25,1457.433679759651800,RCWB_shp
132,58.297374287084722,63.736985223341122,-148.901127480892570,26,1515.731054046736500,RCWB_shp
133,58.297345985236809,63.737166480142903,-148.902235095547750,27,1574.028400031973400,RCWB_shp
134,58.297370627916962,63.737298556831369,-148.903378582787640,28,1632.325770659890400,RCWB_shp
135,58.297353957252156,63.737368693773696,-148.904549293243290,29,1690.623124617142600,RCWB_shp
136,58.297336692366073,63.737402144598050,-148.905728719139260,30,1748.920461309508700,RCWB_shp
137,58.297304886206845,63.737387592080978,-148.906910153160910,31,1807.217766195715500,RCWB_shp
138,58.297329844858311,63.737332064813380,-148.908086010468620,32,1865.515096040573800,RCWB_shp
139,58.297420303500950,63.737264878210880,-148.909258600851130,33,1923.812516344074800,RCWB_shp
140,58.297346743350161,63.737192814213046,-148.910429831461070,34,1982.109863087424900,RCWB_shp
141,58.297258209430943,63.737130053547666,-148.911603812794400,35,2040.407121296855800,RCWB_shp
142,58.297417474184655,63.737069961862233,-148.912778167719100,36,2098.704538771040500,RCWB_shp
143,58.297332436110558,63.736933385313563,-148.913915905499070,37,2157.001871207151000,RCWB_shp
144,58.297367235435146,63.736769945939479,-148.914985823405690,38,2215.299238442586100,RCWB_shp
145,58.297342899528005,63.736336035951318,-148.915542477477940,39,2273.596581342114000,RCWB_shp
146,58.297286815266446,63.735862392279735,-148.916033278155510,40,2331.893868157380400,RCWB_shp
147,58.297439552676231,63.735347068710709,-148.916182750528120,41,2390.191307710056700,RCWB_shp
148,58.297279338182520,63.734835588986385,-148.915967250424220,42,2448.488587048239000,RCWB_shp
149,58.297385089645928,63.734339989156233,-148.915598328892570,43,2506.785972137885000,RCWB_shp
150,58.297326006200151,63.733833540614867,-148.915641820039210,44,2565.083298144085300,RCWB_shp
151,58.297357554632683,63.733608032179298,-148.916635476601840,45,2623.380655698717900,RCWB_shp
152,58.297313461062828,63.733203657239777,-148.917364303413590,46,2681.677969159780800,RCWB_shp
153,58.297346111373400,63.733144501037735,-148.918265642386470,47,2739.975315271154200,RCWB_shp
154,58.297398577459639,63.732942993061620,-148.919321207340770,48,2798.272713848613900,RCWB_shp
155,58.297331152698696,63.732613981847017,-148.919162931874350,49,2856.570045001312800,RCWB_shp
156,58.297391723352447,63.732180463616004,-148.919337498626280,50,2914.867436724665400,RCWB_shp
157,58.297258864020897,63.731673994713773,-148.919576716694390,51,2973.164695588686300,RCWB_shp
158,58.297408127605195,63.731164768962273,-148.919340866820790,52,3031.462103716291500,RCWB_shp
159,58.297308663486959,63.730655767222409,-148.919100688392290,53,3089.759412379778500,RCWB_shp
160,58.297404723842241,63.730145634303724,-148.919309024327330,54,3148.056817103620700,RCWB_shp
161,58.297309217692209,63.729660392529780,-148.919744722424700,55,3206.354126321312800,RCWB_shp
162,58.297318957719675,63.729175150638234,-148.920180405946440,56,3264.651445279032500,RCWB_shp
163,58.297376932022260,63.728671189028894,-148.920464323778590,57,3322.948822211054900,RCWB_shp
164,58.297381365271320,63.728152287251440,-148.920589579470940,58,3381.246203576326000,RCWB_shp
165,58.297259336847517,63.727667574550999,-148.920988524302090,59,3439.543462913173700,RCWB_shp
